"FID","tile","lat","lon"
276,"01HCC",-33.9236940194,-178.569744411
277,"01HCD",-33.0224380343,-178.55357166
278,"01HCE",-32.120503562,-178.538094712
279,"01HCS",-39.3303946467,-178.683489548
280,"01HCT",-38.4300043184,-178.662368543
281,"01HCU",-37.5289248397,-178.642158047
282,"01HCV",-36.6276982202,-178.622828054
283,"01HDA",-35.7365282982,-177.499185557
284,"01HDB",-34.8346973721,-177.493679856
285,"01HDC",-33.9327314172,-177.488413454
286,"01HDD",-33.031173286,-177.483379192
287,"01HDE",-32.1289424655,-177.478561584
288,"01HDS",-39.3413918588,-177.523822136
289,"01HDT",-38.4406555632,-177.517246925
290,"01HDU",-37.5392382937,-177.510955285
291,"01HDV",-36.6376818002,-177.50493786
292,"01HEA",-35.736033234,-176.393108537
293,"01HEB",-34.8342184678,-176.399802006
294,"01HEC",-33.9322683302,-176.406204556
295,"01HED",-33.0307256826,-176.412324892
296,"01HEE",-32.128510049,-176.418181837
297,"01HES",-39.3408283347,-176.36315707
298,"01HET",-38.44010977,-176.37115075
299,"01HEU",-37.5387098116,-176.378799691
300,"01HEV",-36.6371702235,-176.386115271
301,"01HFA",-35.7253736787,-175.287335429
302,"01HFB",-34.8239068133,-175.306214903
303,"01HFC",-33.9222972041,-175.324274123
304,"01HFD",-33.0210879127,-175.341537591
305,"01HFE",-32.1191992402,-175.358058366
306,"01HFS",-39.3286949739,-175.2028589
307,"01HFT",-38.4283581058,-175.225403995
308,"01HFU",-37.5273308274,-175.246977255
309,"01HFV",-36.6261551841,-175.267610695
310,"01HGA",-35.7045822451,-174.183081627
311,"01HGB",-34.8037937087,-174.214102761
312,"01HGC",-33.9028480761,-174.243777087
313,"01HGD",-33.0022888021,-174.272144729
314,"01HGE",-32.1010376967,-174.299292758
315,"01HGS",-39.3050302531,-174.044289969
316,"01HGT",-38.4054374815,-174.081328586
317,"01HGU",-37.5051367527,-174.116772048
318,"01HGV",-36.6046706646,-174.150672749
319,"01JAM",-25.7717155191,179.506356591
320,"01JAM",-25.763113742,-179.946891538
321,"01JAN",-24.8704177245,179.521063967
322,"01JAN",-24.8652391116,-179.936254803
323,"01JBF",-31.2090475796,179.925504597
324,"01JBF",-31.2006389167,-179.498394156
325,"01JBG",-30.3115449411,179.940055259
326,"01JBG",-30.299374067,-179.489127154
327,"01JBH",-29.4152920771,179.953944805
328,"01JBH",-29.3974464043,-179.480264569
329,"01JBJ",-28.5230041422,179.967160404
330,"01JBJ",-28.4953995941,-179.47179692
331,"01JBK",-27.6426980944,179.979621495
332,"01JBK",-27.5937776101,-179.463714744
333,"01JBL",-26.8279622681,179.990666102
334,"01JBL",-26.6915008514,-179.455995041
335,"01JBM",-25.7909161302,-179.44431411
336,"01JBM",-26.2219426186,179.99863624
337,"01JBN",-24.8891754663,-179.426417726
338,"01JCF",-31.2184337705,-178.52329516
339,"01JCG",-30.3167722586,-178.50915481
340,"01JCH",-29.414439053,-178.495631913
341,"01JCJ",-28.5119778919,-178.482711952
342,"01JCK",-27.6099329217,-178.470380436
343,"01JCL",-26.7072240297,-178.458602229
344,"01JCM",-25.8043955,-178.447365848
345,"01JCN",-24.9019920069,-178.436659715
346,"01JDF",-31.2265819835,-177.473954893
347,"01JDG",-30.3246353074,-177.469553446
348,"01JDH",-29.4220218334,-177.465344241
349,"01JDJ",-28.5192851992,-177.461322754
350,"01JDK",-27.6169694602,-177.457484465
351,"01JDL",-26.7139939309,-177.453818436
352,"01JDM",-25.8109028297,-177.450321085
353,"01JDN",-24.9082407636,-177.446988803
354,"01JEF",-31.2261644633,-176.423782365
355,"01JEG",-30.3242323994,-176.429133374
356,"01JEH",-29.4216332876,-176.434250668
357,"01JEJ",-28.51891077,-176.439139752
358,"01JEK",-27.6166089058,-176.443806114
359,"01JEL",-26.7136470408,-176.448263059
360,"01JEM",-25.8105693935,-176.452514935
